date,symbol,file,status,bytes
2026-07-24,FORMUSDT,FORMUSDT-1m-2026-07-24.zip,ok,34021
2026-07-24,FORMUSDT,FORMUSDT-aggTrades-2026-07-24.zip,ok,83953
2026-07-24,FRAXUSDT,FRAXUSDT-1m-2026-07-24.zip,ok,21642
2026-07-24,FRAXUSDT,FRAXUSDT-aggTrades-2026-07-24.zip,ok,33471
2026-07-24,FTTUSDT,FTTUSDT-1m-2026-07-24.zip,ok,28236
2026-07-24,FTTUSDT,FTTUSDT-aggTrades-2026-07-24.zip,ok,48508
2026-07-24,FUSDT,FUSDT-1m-2026-07-24.zip,ok,19112
2026-07-24,FUSDT,FUSDT-aggTrades-2026-07-24.zip,ok,84193
2026-07-24,GALAUSDT,GALAUSDT-1m-2026-07-24.zip,ok,35634
2026-07-24,GALAUSDT,GALAUSDT-aggTrades-2026-07-24.zip,ok,102052
2026-07-24,GASUSDT,GASUSDT-1m-2026-07-24.zip,ok,16145
2026-07-24,GASUSDT,GASUSDT-aggTrades-2026-07-24.zip,ok,14621
2026-07-24,GENIUSUSDT,GENIUSUSDT-1m-2026-07-24.zip,ok,31588
2026-07-24,GENIUSUSDT,GENIUSUSDT-aggTrades-2026-07-24.zip,ok,87841
2026-07-24,GIGGLEUSDT,GIGGLEUSDT-1m-2026-07-24.zip,ok,29973
2026-07-24,GIGGLEUSDT,GIGGLEUSDT-aggTrades-2026-07-24.zip,ok,67943
2026-07-24,GLMRUSDT,GLMRUSDT-1m-2026-07-24.zip,ok,40619
2026-07-24,GLMRUSDT,GLMRUSDT-aggTrades-2026-07-24.zip,ok,101773
2026-07-24,GLMUSDT,GLMUSDT-1m-2026-07-24.zip,ok,17113
2026-07-24,GLMUSDT,GLMUSDT-aggTrades-2026-07-24.zip,ok,26469
2026-07-24,GLWBUSDT,GLWBUSDT-1m-2026-07-24.zip,ok,20014
2026-07-24,GLWBUSDT,GLWBUSDT-aggTrades-2026-07-24.zip,ok,38764
2026-07-24,GMTUSDT,GMTUSDT-1m-2026-07-24.zip,ok,36072
2026-07-24,GMTUSDT,GMTUSDT-aggTrades-2026-07-24.zip,ok,84538
2026-07-24,GMXUSDT,GMXUSDT-1m-2026-07-24.zip,ok,41318
2026-07-24,GMXUSDT,GMXUSDT-aggTrades-2026-07-24.zip,ok,157566
2026-07-24,GNOUSDT,GNOUSDT-1m-2026-07-24.zip,ok,31668
2026-07-24,GNOUSDT,GNOUSDT-aggTrades-2026-07-24.zip,ok,59995
2026-07-24,GNSUSDT,GNSUSDT-1m-2026-07-24.zip,ok,22195
2026-07-24,GNSUSDT,GNSUSDT-aggTrades-2026-07-24.zip,ok,23996
2026-07-24,GOOGLBUSDT,GOOGLBUSDT-1m-2026-07-24.zip,ok,28809
2026-07-24,GOOGLBUSDT,GOOGLBUSDT-aggTrades-2026-07-24.zip,ok,207403
2026-07-24,GPSUSDT,GPSUSDT-1m-2026-07-24.zip,ok,25116
2026-07-24,GPSUSDT,GPSUSDT-aggTrades-2026-07-24.zip,ok,89712
2026-07-24,GRTUSDT,GRTUSDT-1m-2026-07-24.zip,ok,35131
2026-07-24,GRTUSDT,GRTUSDT-aggTrades-2026-07-24.zip,ok,95305
